Previous Rank,Weeks on List,ISBN,Price,Author,Title,Rank,List,Week
9,2,9781101883938,8.99,Danielle Steel,Against All Odds,6,Mass Market,2/7/2018
,1,9780143131830,9.99,Brian Kilmeade,Thomas Jefferson and the Tripoli Pirates,7,Mass Market,2/7/2018
7,29,9780451490049,9.99,Liane Moriarty,The Husband's Secret,8,Mass Market,2/7/2018
10,5,9780451490445,9.99,Liane Moriarty,What Alice Forgot,9,Mass Market,2/7/2018
8,4,9781250058461,9.99,Steve Berry,The Lost Order,10,Mass Market,2/7/2018
,1,9780345804327,16.95,Colson Whitehead,The Underground Railroad,1,Trade Paperback Fiction,2/7/2018
1,12,9781455563920,15.99,Min Jin Lee,Pachinko,2,Trade Paperback Fiction,2/7/2018
2,5,9780062563675,16.99,Jessica Shattuck,The Women in the Castle,3,Trade Paperback Fiction,2/7/2018
3,44,9781501173219,17,Anthony Doerr,All the Light We Cannot See,4,Trade Paperback Fiction,2/7/2018
6,41,9780525435006,15.95,Margaret Atwood,The Handmaid's Tale,5,Trade Paperback Fiction,2/7/2018
4,5,9780399563096,16,Georgia Hunter,We Were the Lucky Ones,6,Trade Paperback Fiction,2/7/2018
5,43,9781501132957,16,Ruth Ware,The Woman in Cabin 10,7,Trade Paperback Fiction,2/7/2018
7,18,9781449486792,16.99,Rupi Kaur,The Sun and Her Flowers,8,Trade Paperback Fiction,2/7/2018
9,3,9780143132172,16,Leeila Slimani,The Perfect Nanny,9,Trade Paperback Fiction,2/7/2018
10,49,9781101883082,17,Martha Hall Kelly,Lilac Girls,10,Trade Paperback Fiction,2/7/2018
12,36,9780735221109,16,Shari Lapena,The Couple Next Door,11,Trade Paperback Fiction,2/7/2018
13,4,9781250169440,17,Andre Aciman,Call Me by Your Name,12,Trade Paperback Fiction,2/7/2018
11,74,9781449474256,14.99,Rupi Kaur,Milk and Honey,13,Trade Paperback Fiction,2/7/2018
15,4,9781101973486,16,Peter Heller,Celine,14,Trade Paperback Fiction,2/7/2018
14,30,9781250132369,16.99,B.A. Paris,Behind Closed Doors,15,Trade Paperback Fiction,2/7/2018
1,133,9780762447695,16,Jen Sincero,You Are a Badass,1,Trade Paperback Nonfiction,2/7/2018
3,10,9781101912379,20,Peter Frankopan,The Silk Roads,2,Trade Paperback Nonfiction,2/7/2018
